when  	WRB
spite  	NN
means  	VBZ
groups  	NNS
compares  	VBZ
cyclical  	JJ
seemingly  	RB
ignoring  	VBG
Commerce  	NNP
Department  	NNP
durable  	JJ
goods  	NNS
significantly  	RB
tried  	VBD
catch  	VB
rip-roaring  	JJ
encourages  	VBZ
seen  	VBN
peaks  	NNS
Abrams  	NNP
argues  	VBZ
discounted  	VBN
wo  	MD
pack  	VB
nearly  	RB
punch  	NN
drops  	NNS
buoyant  	JJ
mood  	NN
middle  	NN
fade  	VB
Renewed  	VBD
skepticism  	NN
celebration  	NN
stability  	NN
ground  	NN
mildly  	RB
prompted  	VBD
edging  	VBG
Brokerage  	JJ
reduction  	NN
offerings  	NNS
gathered  	VBD
steam  	NN
firmed  	VBD
Board  	NNP
Share  	NN
proved  	VBD
contagious  	JJ
sobering  	JJ
surprisingly  	RB
seems  	VBZ
sputtering  	VBG
aided  	VBD
computer-guided  	JJ
buy  	NN
recently  	RB
rocketing  	VBG
speculation  	NN
size  	NN
Colombian  	JJ
field  	NN
'The  	CC
Profits  	NNP
Drag  	NNP
Firming  	VBG
oversold  	JJ
brief  	JJ
meant  	VBD
computer-driven  	JJ
Then  	RB
spark  	VB
brought  	VBD
went  	VBD
Following  	VBG
pre-holiday  	JJ
prompt  	VB
blamed  	VBN
lackluster  	JJ
steepest  	JJS
reacting  	VBG
deep  	JJ
created  	VBD
continually  	RB
improving  	VBG
environment  	NN
far  	RB
become  	VB
competitive  	JJ
where  	WRB
contribution  	NN
bottom  	JJ
line  	NN
presence  	NN
eliminate  	VB
least  	JJS
seriously  	RB
reduce  	VB
anticipate  	VBP
stall  	VB
Mideast  	NNP
Peace  	NNP
material  	NN
slid  	VBD
Brisk  	NNP
Volume  	NN
one-two  	JJ
plunging  	VBG
daily  	RB
volatile  	JJ
stumbled  	VBD
midmorning  	NN
apparent  	JJ
stem  	VB
surrounding  	VBG
responding  	VBG
daylong  	JJ
edge  	VB
upswing  	NN
rekindled  	VBN
President  	NNP
Bush  	NNP
resolve  	NN
Declining  	VBG
routed  	VBD
advancers  	NNS
dominating  	VBG
list  	NN
gainers  	NNS
Growth  	NN
recession-resistant  	JJ
paced  	VBD
bucked  	VBD
Iraqi  	NNP
troops  	NNS
invaded  	VBD
Kuwait  	NNP
words  	NNS
Pan  	NNP
Am  	VBP
plans  	VBZ
fare  	JJ
jet  	NN
target  	NN
weekin  	JJ
waves  	NNS
kind  	NN
heck  	NN
bull-market  	JJ
historical  	JJ
premium  	NN
restored  	VBN
pushes  	VBZ
sharper  	JJ
adjustment  	NN
Arabia\  	NNP
discounts  	NNS
purchase  	NN
causing  	VBG
build  	VB
jobs  	NNS
chief  	JJ
really  	RB
contend  	VBP
faltered  	VBN
affected  	VBD
confirmed  	VBD
considering  	VBG
urgent  	JJ
options  	NNS
stop  	VB
abruptly  	RB
emergency  	NN
address  	VB
Amid  	NNP
Sell-Off  	NNP
subsequent  	JJ
initial  	JJ
catalyst  	NN
telephone  	NN
him  	PRP
slipped  	VBD
competed  	VBD
dollars  	NNS
broadly  	RB
rounds  	NNS
South  	JJ
African  	JJ
rand  	NN
overnight  	VBD
petroleum  	NN
pacing  	VBG
Bargain-hunting  	NN
underpin  	JJ
tripped  	VBD
Program  	NNP
kicked  	VBD
cheaper  	JJR
involved  	VBN
actual  	JJ
rumored  	VBN
takeover  	NN
bids  	NNS
junk  	NN
round  	NN
expiration  	NN
institutions  	NNS
heavy  	JJ
banks  	NNS
prime  	JJ
lending  	NN
business  	NN
start-up  	JJ
Spain  	NNP
France  	NNP
largest  	JJS
reassessed  	VBD
multinational  	JJ
corporations  	NNS
Drug  	JJ
Pfizer  	NNP
forecast  	NN
net  	JJ
Just  	RB
(  	(
Amex  	NNP
)  	)
cross  	VB
today\  	NN
Solid  	NNP
British-based  	JJ
Britain  	NNP
early-morning  	JJ
10-an-ounce  	JJ
Hecla  	NNP
Mining  	NNP
Battle  	NNP
Mountain  	NNP
'Selling  	VBG
Technology  	NNP
Issues  	NNP
Sends  	NNP
rallying  	VBG
assist  	NN
computer-assisted  	JJ
drawing  	VBG
best  	JJS
riding  	VBG
totally  	RB
drifted  	VBD
After  	IN
congressional  	JJ
testimony  	NN
fighting  	VBG
latched  	VBN
benefited  	VBD
digests  	VBZ
start  	VB
continuation  	NN
temptingly  	RB
sense  	NN
responded  	VBD
Supported  	VBN
Yet  	CC
rolling  	VBG
Chicago  	NNP
Trade  	NNP
tail  	JJ
small  	JJ
soar  	VBP
typically  	RB
themselves  	PRP
buyers  	NNS
attempt  	VB
oil-price  	JJ
pointed  	VBD
President-elect  	NNP
Bush\  	NNP
agreement  	NN
expectation  	NN
fought  	VBD
giving  	VBG
Without  	IN
turnaround  	NN
choppy  	JJ
coupled  	VBD
At  	IN
root  	NN
stock-market  	JJ
cause  	VB
numbers  	NNS
GNP  	NNP
released  	VBN
moves  	NNS
bout  	NN
exacerbated  	VBN
incentive  	NN
Improvement  	NN
Profit-taking  	NN
skittishness  	NN
closely  	RB
mild  	JJ
nose  	VBD
slowest  	JJS
generate  	VB
same  	JJ
type  	NN
accelerate  	VB
sees  	VBZ
lining  	NN
stock-price  	JJ
calls  	VBZ
private  	JJ
possibility  	NN
heading  	VBG
translated  	VBD
gold-mining  	JJ
Iran  	NNP
acceptance  	NN
United  	NNP
Nations  	NNPS
resolution  	NN
calling  	VBG
cease-fire  	NN
war  	NN
felt  	VBD
form  	NN
either  	CC
persistent  	JJ
relieved  	VBD
slow  	JJ
moderately  	RB
says  	VBZ
industrials  	NNS
short  	NN
sends  	VBZ
post-crash  	JJ
Goldman  	NNP
failure  	NN
CRB  	NNP
signaling  	VBG
dangers  	NNS
asserted  	VBD
world-wide  	JJ
greeted  	VBD
compete  	VB
benefit  	VBP
seemed  	VBD
fight  	NN
explosion  	NN
Shell  	NNP
refining  	NN
plant  	NN
Louisiana  	NNP
bluechip  	NN
agree  	VB
plan  	NN
cutting  	VBG
output  	NN
impressed  	JJ
hurdle  	NN
find  	VB
leap  	VB
clearly  	RB
position  	NN
snap  	VBD
Stronger  	NNP
Overseas  	NNP
jumped  	VBD
note  	NN
exacerbating  	VBG
implications  	NNS
economy\  	NN
isn\'t  	VBZ
lot  	NN
send  	VB
70-cent-a-barrel  	JJ
Sharma  	NNP
events  	NNS
trigger  	VB
evident  	JJ
larger-than-expected  	JJ
merchandise  	NN
Cautious  	JJ
roused  	VBN
retail-sales  	JJ
dragging  	VBG
outset  	NN
roughly  	RB
relentless  	NN
overcome  	VB
tax  	NN
Bureau\  	NNP
convince  	VB
overstated  	VBN
Anxiety  	NN
wave  	NN
retailing  	VBG
cases  	NNS
third-quarter  	JJ
argue  	VBP
peak  	NN
crash  	NN
now  	RB
hoping  	VBG
These  	DT
bills  	NNS
sounder  	NN
footing  	NN
skyrocket  	NN
late-afternoon  	JJ
healthy  	JJ
Newmont  	NNP
Delaware  	NNP
court  	NN
judge  	NN
ordered  	VBD
Consolidated  	NNP
Fields  	NNP
PLC  	NNP
separate  	JJ
hearing  	NN
approximately  	RB
holding  	VBG
direct  	JJ
energy-related  	JJ
mining  	NN
Mercantile  	NNP
technical  	JJ
removed  	VBD
hostilities  	NNS
wiped  	VBD
able  	JJ
overlook  	VB
accelerated  	VBD
touched  	VBD
narrow  	JJ
non-precious  	JJ
spiral  	NN
aluminum  	NN
'Profit-Taking  	JJ
Wipe  	VBD
Out  	RP
Early  	JJ
Increase  	NN
altered  	VBN
Adding  	VBG
Paul  	NNP
Volcker  	NNP
stepping  	VBG
succeed  	VB
chairman  	NN
alleviating  	VBG
imports  	NNS
looks  	VBZ
leveled  	VBN
diversified  	VBD
trying  	VBG
choose  	VB
between  	IN
finding  	VBG
choice  	NN
tough  	JJ
wild  	JJ
card  	NN
So  	IN
there\  	NN
pummeled  	VBN
pare  	VB
sidelined  	VBD
kindled  	VBD
Grain  	NNP
single-session  	NN
ever  	RB
ear  	NN
Broad  	NNP
Fueled  	NNP
Rises  	NNP
Expectations  	NNS
confirmation  	NN
marching  	VBG
permeating  	VBG
edginess  	NN
Unless  	IN
we  	PRP
significance  	NN
competition  	NN
collapsed  	VBD
taken  	VBN
unanticipated  	JJ
work  	VB
miracles  	NNS
lines  	NNS
last-minute  	JJ
spree  	NN
Standard  	NNP
Poor  	NNP
500-stock  	JJ
chose  	VBD
explained  	VBD
walking  	VBG
Year  	NNP
force  	NN
descent  	NN
import-sensitive  	JJ
Fuel  	NNP
sagging  	VBG
Bonds  	NNP
Absent  	NNP
discouraged  	VBD
respond  	VB
four-day  	JJ
stretch  	VB
forestalled  	VBD
raced  	VBD
spirited  	JJ
resulted  	VBD
race  	NN
frenzied  	JJ
restructuring  	VBG
variety  	NN
fire  	VB
arbitrage-related  	JJ
Sinai  	NNP
reflect  	VB
developments  	NNS
coming  	JJ
imported  	VBN
handsome  	JJ
future  	NN
rosier  	NN
scored  	VBD
quotas  	NNS
'Many  	JJ
Falters  	NNP
ran  	VBD
refunding  	NN
operation  	NN
Strengthening  	VBG
Yugoslavia  	NNP
members  	NNS
paralleled  	VBN
ca  	MD
sputters  	NNS
affect  	VB
profit-takers  	NNS
excuse  	NN
rate-sensitive  	JJ
barely  	RB
less-than-rousing  	JJ
cheer  	VB
still-sluggish  	JJ
erosion  	NN
ones  	NNS
Oil-industry  	JJ
interest-sensitive  	JJ
fully  	RB
listless  	JJ
hardly  	RB
acknowledging  	VBG
seeing  	VBG
partial  	JJ
good  	JJ
rode  	VBD
coattails  	NNS
mull  	VB
consequences  	NNS
Previous  	JJ
considered  	VBN
'Most  	CC
Slightly  	NNP
Continue  	NNP
overwhelming  	JJ
lured  	VBN
cheered  	VBN
brakes  	NNS
Shift  	NNP
Attention  	NNP
still-lingering  	JJ
food  	NN
Basic-industry  	JJ
bearish  	JJ
predictions  	NNS
rushing  	VBG
available  	JJ
makes  	VBZ
institutional  	JJ
retail  	JJ
dip  	VBP
right  	NN
Connolly  	NNP
crisis  	NN
Ohio  	NNP
precipitated  	VBN
massive  	JJ
weren\'t  	VBZ
concentrated  	VBN
Those  	DT
essentially  	RB
bet  	NN
possible  	JJ
candidates  	NNS
trader  	NN
described  	VBN
simply  	RB
anti-oil  	NN
Prospects  	NNS
air  	NN
fares  	NNS
Finish  	NNP
losing  	VBG
correction  	NN
manager  	NN
Because  	IN
matched  	VBN
weakens  	VBZ
explosively  	RB
Poor\  	NNP
three-day  	JJ
Slight  	NNP
masked  	VBD
capitalization  	NN
blue-chips  	NNS
oil-service  	NN
road  	NN
disappointments  	NNS
attributable  	JJ
stemmed  	VBN
flashes  	NNS
confirm  	VB
spontaneous  	JJ
Both  	CC
favorably  	RB
Helped  	VBN
expanded  	VBN
front  	NN
enabled  	VBD
roll  	VBZ
conjunction  	NN
tremendous  	JJ
belt  	NN
tries  	NNS
minor  	JJ
trading.  	NN
mentioned  	VBD
leadership.  	NN
mount  	VB
extensive  	JJ
coincident  	JJ
increasingly  	RB
portfolio  	NN
seem  	VBP
content  	NN
tepid  	JJ
romance  	NN
exacerbate  	VB
longand  	VB
rates.  	NN
sported  	VBD
bouncing  	VBG
California  	NNP
agreed  	VBD
acquire  	VB
're  	VBP
we\  	JJ
'll  	MD
heavily  	RB
higher-than-average  	JJ
dividends  	NNS
upearly  	JJ
havens  	NNS
Reuters  	NNPS
Europe  	NNP
rallyfaded  	VBN
global  	JJ
corporateearnings  	NNS
doused  	VBD
fuelled  	VBN
LONDON  	NNP
little  	RB
changed  	VBN
banksafter  	NN
countered  	VBN
percent  	NN
*  	JJ
6-month  	JJ
majors  	NNS
subdued  	VBD
St  	NNP
GLOBAL  	NNP
eight-month  	JJ
weighedby  	WRB
shutdownloomed  	VBD
venturedinto  	VBP
risky  	JJ
encouragement  	NN
ventured  	VBD
intorisky  	JJ
Apple  	NNP
anda  	VBP
exporterslifted  	VBN
MARKETS-Upbeat  	NNP
cap  	VBP
Andrew  	NNP
Galbraith  	NNP
fadedafter  	NN
13-month  	JJ
SHANGHAI  	NNP
fizzles  	VBZ
gathers  	NNS
Dudley  	NNP
speech  	NN
Pyongyang  	NNP
eschews  	VBZ
newtests  	NNS
track  	NN
adrop  	NN
MARKETS/  	NNP
MARKETS-Stocks  	NNP
boosts  	VBZ
Updates  	VBZ
lifts  	JJ
Royal  	NNP
Dutch  	NNP
minershurt  	VBN
adamper  	RP
dipped  	VBD
sparkedprofit-taking  	NN
asinvestors  	NNS
holdings  	NNS
hike  	NN
shareswere  	RB
counteracted  	VBN
Brent  	JJ
helpedthe  	VBD
benchmark  	NN
recoup  	VB
bulk  	NN
Greek  	JJ
Euro  	NNP
slips  	NNS
Greece  	NNP
write-down  	JJ
itssteepest  	JJS
monthly  	JJ
fellbelow  	VB
Chair  	NNP
hits  	VBZ
three-week  	JJ
Ukraine  	NNP
simmer  	NN
spur  	VBP
safe-haven  	JJ
intervention  	NN
�  	CC
edges  	NNS
tapering  	VBG
Fridaywhile  	NNP
capping  	VBG
grew  	VBD
cautious  	JJ
paused  	VBD
bookedprofits  	NNS
itsbiggest  	JJ
weekly  	JJ
World  	NNP
bargains  	NNS
diminished  	VBD
June  	NNP
Global  	NNP
weekwhile  	JJ
distillates  	NNS
refinery  	NN
itbecame  	NN
using  	VBG
thedollar  	JJ
Commodities  	NNP
o  	JJ
n  	JJ
F  	NNP
ridayafter  	NN
euro  	NN
zone  	NN
leaders  	NNS
Spanish  	JJ
debtprompted  	VBN
otherdollar-sensitive  	JJ
March  	NNP
than2  	JJ
MARKETS  	NNP
GLOBAL/  	NNP
Strong  	NNP
Jan  	NNP
anear  	VB
16-month  	JJ
anounce  	NN
appetite  	NN
assets  	NNS
majormarkets  	NNS
certain  	JJ
German  	JJ
players  	NNS
partlyrelated  	JJ
riven  	VBN
byposition  	NN
unwinding  	NN
one-week  	JJ
pct  	NN
yieldsand  	VBP
limited  	VBD
lifetime  	JJ
aprofit-taking  	JJ
frenzy  	NN
rating  	NN
downgrades  	NNS
Europebut  	NNP
fizzled  	VBD
ashopes  	NNS
rallies  	NNS
choppytrading  	NN
30percent  	JJ
volumecontributed  	VBD
slidein  	NN
Treasuries  	NNS
spurreda  	VBP
greenback  	NN
falls  	NNS
MARKETS-Absence  	NNP
G20  	NNP
pact  	NN
MSCI  	NNP
ex-Japan  	JJ
28-month  	JJ
MARKETS-Asian  	JJ
slip  	VBP
fights  	NNS
RPT-GLOBAL  	NNP
globally  	RB
better-than-expected  	JJ
spurs  	NNS
vs  	JJ
import  	NN
closes  	NNS
3-month  	JJ
initialsharp  	NN
doubts  	NNS
ending  	VBG
achoppy  	JJ
six-week  	JJ
dataand  	NN
stocksrose  	NN
revives  	VBZ
asstrong  	JJ
globaleconomy  	NN
sapped  	VBD
regained  	VBD
heavyweight  	JJ
bankingissues  	NNS
defensive  	JJ
fallen  	VBN
crudeoil  	NN
longer-dated  	JJ
asweaker  	NN
Dubai  	NNP
debtproblems  	NNS
US  	IN
halts  	NNS
3-day  	JJ
became  	VBD
morecautious  	JJ
scaled  	VBD
consistsof  	VBP
hovered  	VBD
break-even  	NN
eightconsecutive  	JJ
worldwide  	VBP
boostedeconomic  	JJ
brimming  	NN
statement  	NN
gets  	VBZ
beunwinding  	VBG
carry  	NN
upwardpressure  	NN
inverted  	VBN
thecorrelation  	NN
hasbeen  	VBP
offtheir  	RP
14-month  	JJ
versus  	IN
andcrude  	VBP
aneconomic  	JJ
homebuyerswill  	NN
phased  	VBN
investorsscaled  	VBN
rawgoods  	NNS
falter  	VBP
merger  	NN
monthas  	VBZ
inflation-hedge  	JJ
dealers  	NNS
rallyearlier  	NN
STOCKS/LOWS  	NNP
STOCKS  	NNP
SNAPSHOT-S  	NNP
morale  	JJ
widespread  	JJ
doubt  	NN
jumps  	NN
5-1/2  	JJ
shows  	NNS
yet  	RB
hand  	NN
gloomy  	JJ
harm  	VB
fast  	JJ
damp  	VB
STOCKSNEWS  	NNP
NEWS  	NNP
US-Wall  	NNP
dent  	VBP
tops  	VBZ
alsobenefited  	VBD
appeal  	NN
hedge  	NN
potentialinflation  	NN
capped  	VBD
helpedspur  	JJ
afresh  	VB
six-month  	JJ
five-month  	JJ
promptedprofit  	NN
sentiment  	NN
auction  	NN
allays  	VBZ
reportshowing  	VBG
buildon  	VB
incrude  	NN
Better-than-expected  	JJ
JPMorgan  	NNP
dulls  	VBZ
safe-have  	JJ
curbs  	JJ
Citi  	NNP
dampens  	VBZ
unexpectedsurge  	NN
housing  	NN
improveinvestors  	NNS
riskier  	JJR
riskassets  	NNS
slumpingequity  	NN
percentas  	NNS
persistently  	RB
brake  	NN
animpressive  	JJ
glimmer  	NN
rescue  	NN
figures  	VBZ
sessionsas  	NNS
deepening  	VBG
bullion  	NN
goldprices  	NNS
depressgold  	VB
worldwideeconomic  	JJ
currenciesas  	JJ
emerge  	VB
consumers  	NNS
ledinvestors  	NNS
breather  	NN
ascommodity  	JJ
Thursdayafter  	NNP
5-1/2-year  	JJ
roller-coaster  	JJ
dismal  	JJ
beatendown  	JJ
<  	VBP
CLc1  	NNP
>  	NNP
morethan  	RB
stress  	NN
widen  	VB
wildly  	RB
retreatedagainst  	VBD
promptedinvestors  	NNS
lock  	VB
dropped  	VBD
ounceas  	JJ
trend  	NN
oilprices  	NNS
sessionafter  	NN
two-day  	JJ
fouryears  	NNS
fled  	VBD
safer  	VB
wouldaid  	VBD
overits  	NNS
fate  	NN
MARKETS-Dollar  	JJ
bailout  	NN
sag  	VBP
debate  	NN
asresource  	NN
metalsprices  	NNS
multi-month  	JJ
parelosses  	NNS
seven-month  	JJ
dampened  	VBD
pushoil  	NN
erased  	VBD
decliningoil  	NN
appear  	VBP
open  	JJ
theimpact  	NN
overshadowed  	VBD
arecent  	JJ
shore  	VB
infinancial  	JJ
optimismthat  	IN
buffs  	NNS
Silver  	NNP
sank  	VBD
plummetedas  	VBP
incommodities  	NNS
yenas  	JJ
takeprofits  	NNS
quashedthe  	VBD
atwo-year  	JJ
barrellifted  	JJ
theeuro  	NN
preciousmetal  	NN
volume  	NN
oiland  	VBP
analternative  	JJ
exporter  	NN
theoutlook  	VB
soured  	VBN
revision  	NN
steadied  	VBD
ondollar  	JJ
mortgage  	NN
providers  	NNS
capitaladequacy  	NN
spoiled  	VBD
incommodity  	NN
shruggedoff  	NN
offsetmodest  	JJS
ofrecord  	NN
equitymarkets  	NNS
slowed  	VBD
safe-havens  	NNS
andgovernment  	JJ
Chaselifted  	NNP
overshadowedweak  	VBP
stillloomed  	VBD
afterits  	NNS
againstthe  	NN
asan  	NNS
alternative  	JJ
shouldcap  	NN
MARKETS-Global  	JJ
tumbles  	NNS
underpins  	VBZ
theappeal  	NN
stand  	VB
naturalgas  	NN
refined  	VBN
outweigh  	JJ
concernsand  	VBP
Md  	NNP
lowsas  	VBZ
labor  	NN
spike  	NN
theirbuying  	VBG
extends  	NNS
ofcrude  	NN
heights  	NNS
wider  	NN
shifted  	VBN
assetsto  	JJ
Nigeriansupply  	NNP
resume  	VB
followingnegotiations  	NNS
unions  	NNS
strike  	NN
lossin  	NN
thefinancial  	JJ
surges  	NNS
Germany  	NNP
aone-month  	JJ
fed  	VB
aa  	JJ
demandwill  	NN
lastweek  	NN
despitethe  	NN
weakeningdollar  	JJ
stepped  	VBD
andcame  	NN
Nigerian  	JJ
suppliesoutweighed  	VBD
near-  	JJ
weakdollar  	JJ
theground  	NN
agold-backed  	JJ
exchange-traded  	JJ
bullion'srally  	RB
marked  	VBD
sixth  	JJ
highsas  	NN
oilencouraged  	VBD
venture  	NN
energyprices  	NNS
andmaterials  	NNS
poised  	VBD
trades  	NNS
hoversnear  	VBP
butcontinued  	VBN
dollarhelped  	JJ
sought  	VBD
hedgeagainst  	VB
MARKETS-Oil  	NNP
prompts  	VBZ
[  	VBD
HOT-RTRS  	NNP
]  	NNP
Real-time  	NNP
Equity  	NNP
E  	NNP
-listed  	JJ
arise  	NN
makers  	NNS
andcopper  	NN
energycompany  	JJ
inthe  	NN
andcredit  	NN
DOLLAR  	NNP
'S  	POS
STRENGTH  	NNP
ROBS  	NNP
GOLD  	NNP
OF  	NNP
ITS  	NNP
GAINS  	NNP
buoyedby  	NN
ET  	NNP
30Oct2007-Airline  	JJ
US-Airlines  	NNP
lessattractive  	NN
skyrocketing  	JJ
thehighest  	VB
begun  	VBN
27-year  	JJ
Oracle  	NNP
Lehman  	NNP
Brothers  	NNPS
Exxonhelped  	NNP
giant  	NN
one-month  	JJ
recordterritory  	NN
seven-week  	JJ
factory  	NN
extending  	VBG
steepsell-off  	NN
andstronger  	VBP
otherglobal  	JJ
listings  	NNS
domesticnatural  	JJ
storage  	NN
smaller-then-expected  	JJ
draw  	NN
helpedpressure  	VB
complex  	VBP
globalequity  	NN
theoil  	NN
afterclimbing  	VBG
priceshelped  	VBD
reignited  	VBD
economicworries  	NNS
proposed  	JJ
10-  	JJ
12-session  	JJ
unusually  	RB
sharpand  	JJ
therefore  	RB
extreme  	JJ
afteranother  	RB
judged  	VBN
priceson  	NN
colder  	NN
weather  	NN
surprisebuild  	NN
total  	JJ
distillate  	NN
ingasoline  	JJ
barreland  	NN
claims  	NNS
jobless  	JJ
benefits  	NNS
labormarket  	NN
tostand  	VB
pricesoffset  	VBP
astruggling  	VBG
investorsto  	JJ
yellow  	JJ
theirone-week  	JJ
stocksweighed  	VBN
pricesand  	VBP
barrelafter  	NN
abig  	JJ
finishedwith  	NN
Emily  	NNP
Chasan  	NNP
asa  	VBP
brighter  	JJ
picture  	NN
simmers  	NNS
RESF/US  	NNP
XAU=  	NNP
investorsweighed  	JJ
ofthe  	IN
reversing  	VBG
supportfrom  	PDT
worriesabout  	NN
slower  	JJR
Thursdayas  	NNP
ofenergy  	IN
fiveweeks  	NN
helpedspark  	VBD
let  	VB
US-US  	JJ
alate  	NN
draggeddown  	JJ
ofmajor  	JJ
stocksa  	JJ
jitterskept  	IN
marketsthreatened  	VBN
threatened  	VBD
andmining  	VBG
stayed  	VBD
ofinflation  	NN
andmetal  	JJ
com  	NN
EDT  	NNP
RTRS-US  	JJ
-US  	NN
Results  	NNP
diary  	JJ
04Apr2006-US  	JJ
US-Stocks  	NNP
Tuesdayas  	NNP
dollardropped  	VBN
two-month  	JJ
oilcompanies  	NNS
5-year  	JJ
hinders  	NNS
21-month  	JJ
aheadand  	VBP
energyshares  	VBZ
acquisition  	NN
andthe  	VBP
forstocks  	NNS
States  	NNPS
asdeclines  	NNS
pharmaceutical  	JJ
2-a-barrel  	JJ
US-NY  	NNP
11-day  	JJ
17-year  	JJ
stageda  	NN
crimp  	VB
homes  	NNS
limits  	NNS
Bridge  	NNP
users  	NNPS
please  	VBP
click  	VB
nN24604553  	JJ
NY  	NNP
5-week  	JJ
Fridayafter  	NNP
abarrel  	NN
PRICES  	NNP
RISE  	NNP
DESPITE  	NNP
3-year  	JJ
reportshowed  	VBD
aroundfrom  	VBD
oilticked  	VBD
cents  	NNS
concernsgrew  	NN
ratehikes  	NNS
priceslimited  	VBD
thatthe  	JJ
quickly  	RB
reined  	VBD
16-1/4-year  	JJ
highswhile  	NN
equitiesshrug  	VB
thin  	JJ
werecontained  	VBN
toclose  	RB
weighted  	VBN
morerate  	NN
pricesgenerally  	RB
companiesand  	NN
pricesclouded  	VBD
upbeat  	NN
refuge  	NN
firsttime  	NN
anupcoming  	VBG
smallerthan  	JJ
Bernard  	NNP
Orr  	NNP
two-week  	JJ
drewcapital  	NN
manufacturingdata  	NN
hiring  	NN
horizon  	NN
spookedspeculators  	NNS
15-year  	JJ
just  	RB
offsetconcern  	NN
exportrevenues  	NNS
Monday'ssharp  	NNP
speculative  	JJ
four-week  	JJ
speculators  	NNS
one-monthlow  	JJ
storm  	NN
facilities  	NNS
eked  	VBD
COMEX  	NNP
ditched  	VBD
protection  	NN
ofprecious  	JJ
chase  	VB
andbargain-minded  	JJ
industrialcompanies  	NNS
sectorturned  	JJ
leadership  	NN
